bytes_in,bytes_out,creation_time,end_time,src_ip,src_ip_country_code,protocol,response.code,dst_port,dst_ip,rule_names,observation_name,source.meta,source.name,time,detection_types,duration_seconds,threat_score,avg_packet_size
57208,32874,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,165.225.33.6,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:10:00Z,waf_rule,600.0,5,150.13666666666666
18162,30492,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,136.226.67.101,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:10:00Z,waf_rule,600.0,2,81.09
28056,4832,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,165.225.212.255,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:10:00Z,waf_rule,600.0,0,54.81333333333333
73752,18924,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,136.226.64.114,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:10:00Z,waf_rule,600.0,3,154.46
4080,11282,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,94.188.248.74,IL,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:10:00Z,waf_rule,600.0,0,25.60333333333333
1968903,38773,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,165.225.240.79,NL,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:10:00Z,waf_rule,600.0,5,3346.1266666666666
6958,12854,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,136.226.77.103,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:10:00Z,waf_rule,600.0,0,33.02
8310,6276,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,165.225.26.101,DE,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:10:00Z,waf_rule,600.0,0,24.31
4804723,291088,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,155.91.45.242,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:10:00Z,waf_rule,600.0,5,8493.018333333333
11820,24620,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,165.225.209.4,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:10:00Z,waf_rule,600.0,2,60.733333333333334
